date,open,high,low,close,volume,QAV,trades,TBAV,TQAV
2021-09-18 16:30:00+04:30,630.6,635.1,628.5,631.6,3296.205,2080815.5663,3037.0,1637.171,1033638.3872
2021-09-18 17:30:00+04:30,631.6,636.5,630.1,633.1,4990.775,3163289.4484,3758.0,2354.633,1492346.4728
2021-09-18 18:30:00+04:30,633.3,637.9,632.0,635.1,2332.538,1481594.2059,2291.0,1244.751,790625.2271
2021-09-18 19:30:00+04:30,635.1,635.1,628.4,630.1,1866.949,1179523.9668,1618.0,612.891,386672.3295
2021-09-18 20:30:00+04:30,630.1,631.5,627.4,628.4,1559.629,981449.0762,1943.0,744.396,468450.8703
2021-09-18 21:30:00+04:30,628.0,629.7,626.7,629.0,1219.01,765764.3486,1309.0,485.749,305120.3404
2021-09-18 22:30:00+04:30,628.9,630.4,626.2,629.4,1018.407,639873.6442,1426.0,451.46,283808.6648
2021-09-18 23:30:00+04:30,629.4,629.4,625.1,629.4,1071.481,671662.6773,1332.0,585.013,366630.8549
2021-09-19 00:30:00+04:30,629.4,629.4,618.9,621.6,2678.214,1665616.7877,3140.0,999.708,621702.2308
2021-09-19 01:30:00+04:30,621.6,624.6,620.6,622.8,779.384,485421.3006,881.0,367.007,228628.3504
2021-09-19 02:30:00+04:30,622.5,627.5,622.2,627.3,1480.04,926001.0616,1657.0,874.123,546865.0636
2021-09-19 03:30:00+04:30,627.2,631.2,625.1,630.8,3483.652,2189292.6025,2861.0,1623.207,1019937.0302
2021-09-19 04:30:00+04:30,630.6,631.7,622.6,623.1,1613.783,1012227.4206,1683.0,791.631,496703.2215
2021-09-19 05:30:00+04:30,623.2,642.0,621.2,642.0,9414.0,5939786.7105,8552.0,5216.09,3290636.8601
2021-09-19 06:30:00+04:30,642.0,647.5,637.7,639.2,8897.771,5711724.3035,9999.0,4199.0,2695574.4446
2021-09-19 07:30:00+04:30,639.2,640.5,632.2,633.7,3202.675,2035034.235,3710.0,1624.8,1032930.4551
2021-09-19 08:30:00+04:30,633.7,637.1,630.7,634.2,2054.126,1301520.3661,2638.0,1118.86,708916.1808
2021-09-19 09:30:00+04:30,634.1,637.6,632.3,637.3,2101.17,1334551.6714,2235.0,1366.697,867822.4323
2021-09-19 10:30:00+04:30,637.3,637.7,633.7,637.3,1592.03,1011925.3913,1846.0,854.99,543354.4963
2021-09-19 11:30:00+04:30,637.2,639.9,633.7,636.9,1983.19,1262602.3488,1924.0,921.643,586566.1666
2021-09-19 12:30:00+04:30,637.1,638.6,635.6,637.7,1649.9,1051817.2271,2107.0,841.495,536449.916
2021-09-19 13:30:00+04:30,637.9,638.7,633.6,634.4,1543.122,980944.2852,1875.0,709.927,451306.4867
2021-09-19 14:30:00+04:30,634.3,635.2,631.0,631.7,1257.717,795669.4756,1429.0,474.751,300340.4521
2021-09-19 15:30:00+04:30,631.6,632.0,607.5,611.5,12351.946,7628239.6251,12488.0,5864.432,3624868.9974
2021-09-19 16:30:00+04:30,611.3,616.2,609.1,613.8,5998.32,3673292.5399,5127.0,3399.991,2082134.1608
2021-09-19 17:30:00+04:30,613.9,616.8,612.4,616.0,2578.486,1585374.9843,1995.0,1472.854,905482.918
2021-09-19 18:30:00+04:30,615.9,620.0,614.4,617.5,2441.306,1507825.9351,2552.0,1187.17,733371.555
2021-09-19 19:30:00+04:30,617.5,620.4,616.4,617.4,1518.919,938824.2606,1684.0,777.942,480916.7652
2021-09-19 20:30:00+04:30,617.3,619.2,615.6,616.4,2049.388,1265251.4137,2129.0,977.373,603250.2001
2021-09-19 21:30:00+04:30,616.6,618.2,612.0,614.3,2144.143,1317562.4693,1955.0,977.706,600945.2523
2021-09-19 22:30:00+04:30,614.2,618.3,612.2,614.8,2109.656,1298453.7291,2015.0,969.121,596470.8533
2021-09-19 23:30:00+04:30,614.8,615.9,610.8,611.5,1895.676,1161798.3897,1655.0,1075.581,659137.4796
2021-09-20 00:30:00+04:30,611.7,617.7,610.8,616.6,1806.346,1111215.7187,1597.0,895.354,550474.235
2021-09-20 01:30:00+04:30,616.6,617.2,611.9,613.8,934.337,573810.5077,1170.0,484.407,297383.446
2021-09-20 02:30:00+04:30,613.9,617.7,601.7,606.6,6464.539,3930496.861,7464.0,2796.687,1699839.8669
2021-09-20 03:30:00+04:30,606.3,610.9,606.2,608.7,2975.744,1812914.3451,2358.0,1776.335,1082325.8283
2021-09-20 04:30:00+04:30,608.8,609.3,595.2,598.1,7191.457,4310542.6681,8762.0,3324.057,1992216.4372
2021-09-20 05:30:00+04:30,598.1,602.2,596.6,600.8,2803.224,1682057.9107,2343.0,1332.486,799421.0851
2021-09-20 06:30:00+04:30,600.8,602.1,579.2,585.7,11812.16341,6948669.6280961,11650.0,5412.526,3184325.8812
2021-09-20 07:30:00+04:30,585.5,587.4,573.7,582.4,9679.2513,5637060.1903214,8014.0,4740.61537,2761278.039846
2021-09-20 08:30:00+04:30,582.3,585.0,576.8,583.7,4345.158,2527302.6571,3644.0,2284.287,1328860.2383
2021-09-20 09:30:00+04:30,583.7,586.6,583.2,585.1,1718.307,1004880.7494,1805.0,1004.755,587600.0827
2021-09-20 10:30:00+04:30,585.1,585.8,576.4,579.7,4401.027,2555330.5168,3680.0,2092.003,1214735.8662
2021-09-20 11:30:00+04:30,579.7,583.2,560.5,569.3,11266.6969,6418779.5429677,10809.0,5359.9477,3053848.3049
2021-09-20 12:30:00+04:30,569.4,574.9,564.9,573.5,6582.745,3758284.6934,4582.0,3028.144,1729199.9509
2021-09-20 13:30:00+04:30,573.5,573.5,567.8,568.0,3772.521,2152056.9707,3129.0,1758.23,1002658.5339
2021-09-20 14:30:00+04:30,568.1,575.6,562.1,564.9,9168.124,5213999.467,7474.0,4358.554,2478709.9835
2021-09-20 15:30:00+04:30,565.2,566.0,540.5,550.1,24235.25981,13418481.2907881,20977.0,12212.642,6765211.5863725
2021-09-20 16:30:00+04:30,550.0,555.6,530.1,546.0,20961.09339,11385094.4426442,17345.0,10716.883,5822947.2115
2021-09-20 17:30:00+04:30,546.1,555.6,540.7,552.9,12310.176,6746593.4803,10728.0,6549.737,3592139.1192
2021-09-20 18:30:00+04:30,552.9,553.0,546.2,548.1,6099.037,3347847.0327,5272.0,2673.657,1467405.9488
2021-09-20 19:30:00+04:30,548.1,553.8,543.6,551.0,6461.007,3541618.5427,6165.0,3105.703,1702830.51
2021-09-20 20:30:00+04:30,551.0,554.8,546.1,549.2,6625.314,3647038.1726,5136.0,3259.854,1793931.5787
2021-09-20 21:30:00+04:30,549.1,553.7,546.4,552.1,2675.905,1471582.2917,2785.0,1447.591,795597.0558
2021-09-20 22:30:00+04:30,552.3,552.7,541.1,542.6,5591.147,3054762.7749,4876.0,3050.684,1666669.8269
2021-09-20 23:30:00+04:30,542.4,550.0,538.1,549.3,5952.581,3238274.7969,5588.0,2980.823,1621616.0583
2021-09-21 00:30:00+04:30,549.3,551.4,536.1,540.3,3997.972,2172146.2263,3943.0,1615.254,877964.2081
2021-09-21 01:30:00+04:30,540.4,546.4,539.3,544.2,1907.576,1035526.8144,1971.0,1080.831,586632.6803
2021-09-21 02:30:00+04:30,544.1,551.4,540.5,542.5,3654.314,1996110.6255,3545.0,1693.886,924886.0559
2021-09-21 03:30:00+04:30,542.6,546.7,534.5,542.7,6576.684,3542299.6582,5840.0,3510.336,1891083.3846
2021-09-21 04:30:00+04:30,542.6,544.8,510.7,523.0,24417.02363,12833706.9467702,20988.0,11829.89848,6214341.224846
2021-09-21 05:30:00+04:30,523.1,540.7,522.1,539.2,8697.006,4625608.6704,7237.0,4394.878,2339980.2489
2021-09-21 06:30:00+04:30,539.7,544.2,537.6,542.6,5708.592,3090180.0615,4179.0,2886.305,1562830.32
2021-09-21 07:30:00+04:30,542.6,543.5,536.3,537.7,4110.283,2219603.1853,2801.0,1627.839,878881.9121
2021-09-21 08:30:00+04:30,537.8,540.1,532.3,533.0,5084.302,2724350.2743,3355.0,2057.072,1101959.7636
2021-09-21 09:30:00+04:30,533.0,535.7,527.6,533.6,6840.975,3638390.1049,4590.0,2401.461,1277184.9667
2021-09-21 10:30:00+04:30,533.6,540.1,533.3,538.3,3146.301,1689032.997,2685.0,1588.222,852369.8128
2021-09-21 11:30:00+04:30,538.4,544.2,536.8,543.5,6558.499,3547350.8656,4653.0,3181.825,1720746.9313
2021-09-21 12:30:00+04:30,543.4,548.9,541.2,547.6,6165.858,3366417.2939,3700.0,3459.099,1888876.9082
2021-09-21 13:30:00+04:30,547.6,548.7,542.8,546.7,4983.271,2718099.9417,3413.0,1468.506,800834.3915
2021-09-21 14:30:00+04:30,546.7,552.4,543.8,551.2,9360.192,5123883.988,5628.0,3964.605,2171709.2148
2021-09-21 15:30:00+04:30,551.2,552.0,546.6,547.7,3864.193,2121602.4217,2805.0,1840.36,1011003.0557
2021-09-21 16:30:00+04:30,547.8,551.9,543.2,544.0,9352.413,5118336.2439,5919.0,4593.441,2513530.2624
2021-09-21 17:30:00+04:30,544.1,549.3,540.9,546.0,6348.7,3463346.4096,4574.0,3261.748,1779281.25
2021-09-21 18:30:00+04:30,546.2,546.6,534.6,541.4,13679.588,7382459.913,9630.0,5892.799,3179209.769
2021-09-21 19:30:00+04:30,541.3,548.5,538.7,545.2,10798.236,5866009.9116,10249.0,5040.602,2738414.4899
2021-09-21 20:30:00+04:30,545.0,545.1,536.3,538.6,7318.501,3953631.7469,5800.0,3475.008,1877105.8896
2021-09-21 21:30:00+04:30,538.7,539.7,525.2,526.6,6501.726,3451178.0751,5537.0,3028.736,1607653.0535
2021-09-21 22:30:00+04:30,526.5,534.2,525.3,527.0,5700.665,3016832.4403,4819.0,3044.389,1610981.9943
2021-09-21 23:30:00+04:30,526.8,530.5,522.6,524.7,4655.454,2450752.1145,4069.0,2475.497,1303348.0059
2021-09-21 23:30:00+03:30,524.5,527.8,510.08,512.6,9278.32,4799864.35842,7845.0,4282.754,2215873.6396
2021-09-22 00:30:00+03:30,512.7,521.4,496.6,518.2,11381.80143,5783334.6191879,11138.0,5322.331,2706152.8841
2021-09-22 01:30:00+03:30,518.0,520.5,503.4,503.9,6256.367,3206336.4839,5240.0,2724.015,1395680.6928
2021-09-22 02:30:00+03:30,503.9,508.2,498.4,505.4,8831.512,4434259.4827,6474.0,3677.491,1847985.7832
2021-09-22 03:30:00+03:30,505.1,513.1,496.2,503.2,9371.231,4738177.7923,6851.0,5136.931,2600571.8416
2021-09-22 04:30:00+03:30,503.1,520.9,499.5,518.8,6687.248,3426533.3004,5937.0,3569.606,1828818.5839
2021-09-22 05:30:00+03:30,518.7,520.0,515.7,517.0,3257.183,1686219.3309,2504.0,1658.846,858599.8501
2021-09-22 06:30:00+03:30,516.9,521.7,514.4,515.2,6089.584,3155064.6463,4629.0,3073.528,1592797.1164
2021-09-22 07:30:00+03:30,515.2,517.4,511.6,511.7,2631.393,1353054.3318,2647.0,1250.524,642932.6055
2021-09-22 08:30:00+03:30,511.8,521.0,511.8,518.1,4472.533,2310787.3827,3351.0,2201.99,1138269.8207
2021-09-22 09:30:00+03:30,517.9,522.8,511.9,522.5,4480.405,2319625.4043,3457.0,2384.659,1235111.5339
2021-09-22 10:30:00+03:30,522.7,526.4,520.5,524.6,3685.687,1929803.4965,2840.0,2033.893,1065161.3571
2021-09-22 11:30:00+03:30,524.4,525.7,520.5,521.6,2690.993,1408034.4069,1745.0,1447.385,757571.4318
2021-09-22 12:30:00+03:30,521.5,526.1,520.3,524.9,4829.869,2525959.6992,2602.0,2024.268,1059610.0202
2021-09-22 13:30:00+03:30,525.0,526.6,520.8,525.2,5004.028,2619548.4477,3450.0,2396.375,1254959.4619
2021-09-22 14:30:00+03:30,525.1,529.0,518.2,519.2,8957.222,4674471.2306,5672.0,4061.277,2119291.8988
2021-09-22 15:30:00+03:30,519.7,525.5,518.4,523.8,3507.996,1828790.9329,3383.0,1778.77,927537.0275
2021-09-22 16:30:00+03:30,523.7,528.7,521.0,525.9,4168.166,2187455.6024,3343.0,2135.832,1120820.8247
