date,open,high,low,close,volume
2017-08-17 08:30:00+04:30,301.13,307.96,298,307.96,1561.95305
2017-08-17 12:30:00+04:30,307.95,312,307,308.95,1177.71088
2017-08-17 16:30:00+04:30,308.95,310.51,303.56,307.06,1882.05267
2017-08-17 20:30:00+04:30,307.74,312.18,298.21,301.6,1208.05192
2017-08-18 00:30:00+04:30,301.6,310.85,299.01,302,1200.94182
2017-08-18 04:30:00+04:30,302,306.47,295.19,301.4,1690.58319
2017-08-18 08:30:00+04:30,301.4,309.49,298.41,306.24,1732.52616
2017-08-18 12:30:00+04:30,306.24,311.79,303.22,307.78,1213.01283
2017-08-18 16:30:00+04:30,307.78,310.29,296.32,298.8,1358.99471
2017-08-18 20:30:00+04:30,298.8,301.11,287.37,293.83,1620.71499
2017-08-19 00:30:00+04:30,295.46,295.46,283.94,293.96,1922.01458
2017-08-19 04:30:00+04:30,293.31,299.84,292.83,293.22,282.19297
2017-08-19 08:30:00+04:30,294.69,299.9,287.01,290.16,235.2921
2017-08-19 12:30:00+04:30,290.16,293.17,278,282.58,1139.03045
2017-08-19 16:30:00+04:30,281.39,290.85,279.56,288.64,288.29994
2017-08-19 20:30:00+04:30,288.64,295,284.16,293.31,127.38589
2017-08-20 00:30:00+04:30,290.6,294.9,288.8,290.91,73.99638
2017-08-20 04:30:00+04:30,289.41,292.42,285.96,292.41,68.40092
2017-08-20 08:30:00+04:30,287.97,295.56,285.39,292.08,252.26228
2017-08-20 12:30:00+04:30,293.02,296.89,282.85,295,240.75968
2017-08-20 16:30:00+04:30,295,296.92,292.28,295.1,67.3647
2017-08-20 20:30:00+04:30,295.1,300.53,293.28,297.88,361.56695
2017-08-21 00:30:00+04:30,297.87,300.53,294.51,299.1,1519.78418
2017-08-21 04:30:00+04:30,299.1,300.9,294.6,299.85,723.80595
2017-08-21 08:30:00+04:30,300.03,329.49,299.11,318.5,888.57113
2017-08-21 12:30:00+04:30,317.48,333.66,312.6,331.53,207.37686
2017-08-21 16:30:00+04:30,331.33,346.52,325.42,334.94,1227.44025
2017-08-21 20:30:00+04:30,334.34,342.72,316.82,329.71,1715.07272
2017-08-22 00:30:00+04:30,332.27,332.74,316.12,323.29,457.17851
2017-08-22 04:30:00+04:30,321.04,330.41,280,280,809.61524
2017-08-22 08:30:00+04:30,144.21,310.24,144.21,300.35,707.47249
2017-08-22 12:30:00+04:30,300.35,313.16,296,308.03,2176.12505
2017-08-22 16:30:00+04:30,311.16,311.24,301.48,308.39,1756.8306
2017-08-22 20:30:00+04:30,305.08,320.76,305.08,307.03,1304.2511
2017-08-23 00:30:00+04:30,307.03,313.99,305.08,309.8,1202.0564
2017-08-23 04:30:00+04:30,312.25,319.78,309.41,317.26,1088.33347
2017-08-23 08:30:00+04:30,315.45,324.99,315.35,319.06,1376.06321
2017-08-23 12:30:00+04:30,319.06,324.51,318.02,319.2,1285.87403
2017-08-23 16:30:00+04:30,319.2,322,313.75,319.2,2106.38559
2017-08-23 20:30:00+04:30,317.87,322.34,315.53,318.57,1635.49673
2017-08-24 00:30:00+04:30,318.57,320.2,312.05,315.74,1173.57266
2017-08-24 04:30:00+04:30,315.74,318.45,314.01,315.22,1061.17398
2017-08-24 08:30:00+04:30,315.22,322.36,314.31,318.54,1074.07592
2017-08-24 12:30:00+04:30,318.54,323.61,316.14,323.61,1670.50319
2017-08-24 16:30:00+04:30,322.51,328.04,317.9,321.2,1138.04846
2017-08-24 20:30:00+04:30,323.67,325.35,318.97,321.23,909.12592
2017-08-25 00:30:00+04:30,321.23,326.33,318.97,323.42,900.34445
2017-08-25 04:30:00+04:30,323.42,330.44,323.42,326.55,1406.8485
2017-08-25 08:30:00+04:30,326.55,335,326.55,330.29,1115.60692
2017-08-25 12:30:00+04:30,330.29,335.41,327.4,331.26,1199.42604
2017-08-25 16:30:00+04:30,329.68,335.33,328.72,333.15,1961.178
2017-08-25 20:30:00+04:30,335.29,338.28,325.42,328.71,751.25954
2017-08-26 00:30:00+04:30,329.91,332.27,324.9,327.24,691.65062
2017-08-26 04:30:00+04:30,327.24,332.27,323.41,323.46,569.57801
2017-08-26 08:30:00+04:30,323.46,329.69,323.41,327.9,1070.6985
2017-08-26 12:30:00+04:30,328.45,331.25,326.69,327.89,856.541
2017-08-26 16:30:00+04:30,328.25,335.44,324.06,327,940.58482
2017-08-26 20:30:00+04:30,327.01,334.17,326.7,331.19,803.00095
2017-08-27 00:30:00+04:30,332.68,334.17,329.33,330.79,637.28193
2017-08-27 04:30:00+04:30,332.18,338.28,330.79,331.62,1056.62234
2017-08-27 08:30:00+04:30,334.5,338.29,331.49,332.77,689.1668
2017-08-27 12:30:00+04:30,332.77,338.42,330.73,333.94,857.24989
2017-08-27 16:30:00+04:30,333.93,336.99,331.88,334.67,665.54231
2017-08-27 20:30:00+04:30,335.04,341.47,332.97,339.64,795.13177
2017-08-28 00:30:00+04:30,341.47,348.13,337.12,348.13,571.72404
2017-08-28 04:30:00+04:30,348.11,351,343.44,343.44,740.63428
2017-08-28 08:30:00+04:30,343.43,343.69,331.95,338.77,1139.94898
2017-08-28 12:30:00+04:30,340.89,342.86,336.54,341.9,636.04761
2017-08-28 16:30:00+04:30,339.62,347.41,339.34,341.83,587.29518
2017-08-28 20:30:00+04:30,341.83,347.42,340.49,344.3,759.06227
2017-08-29 00:30:00+04:30,342.54,348.5,342.16,346,416.19338
2017-08-29 04:30:00+04:30,347,353.23,346,350.03,276.84576
2017-08-29 08:30:00+04:30,351.19,360.79,350.02,354.18,381.6272
2017-08-29 12:30:00+04:30,354.17,367.13,354.01,356.75,463.44028
2017-08-29 16:30:00+04:30,358.1,367.4,358.1,364.57,737.9557
2017-08-29 20:30:00+04:30,365.74,373.66,362.79,367.44,694.84255
2017-08-30 00:30:00+04:30,367.44,377.6,367.36,374.7,477.42276
2017-08-30 04:30:00+04:30,374.7,377.8,367.37,373,344.29846
