,date,open,high,low,close,volume,QAV,trades,TBAV,TQAV,Ignore,detect
0,2021-07-19 04:14:00+04:30,31722.87,31750.0,31716.17,31717.0,20.78148300,659515.81384607,639,8.30418400,263526.11967923,0,1.0
1,2021-07-19 04:15:00+04:30,31717.0,31792.0,31717.0,31776.18,35.63122400,1131696.54821172,813,21.32936400,677592.73698472,0,0.0
2,2021-07-19 04:16:00+04:30,31776.17,31776.21,31750.44,31775.64,11.07971700,351921.52827996,300,3.69678100,117411.55870911,0,1.0
3,2021-07-19 04:17:00+04:30,31775.63,31835.55,31775.62,31818.76,43.61216200,1386810.93101724,992,28.12685200,894351.95387293,0,1.0
4,2021-07-19 04:18:00+04:30,31821.23,31844.76,31800.35,31844.76,38.69084100,1231127.47234052,698,18.53131900,589736.77493492,0,1.0
5,2021-07-19 04:19:00+04:30,31844.71,31871.49,31821.42,31860.63,34.62930300,1102745.57039634,796,19.26671600,613473.65310518,0,0.0
6,2021-07-19 04:20:00+04:30,31858.37,31871.68,31838.25,31860.63,45.05071000,1434874.74335578,706,18.59009000,592087.88020215,0,0.0
7,2021-07-19 04:21:00+04:30,31860.62,31865.13,31820.63,31832.24,31.39328600,999649.34030338,628,11.82838500,376690.52714811,0,0.0
8,2021-07-19 04:22:00+04:30,31835.17,31840.0,31801.05,31803.02,36.37243400,1157160.45917333,610,10.05736800,319950.63325381,0,1.0
9,2021-07-19 04:23:00+04:30,31803.02,31818.62,31800.59,31813.43,26.56252500,844985.06537240,506,12.21365200,388531.14161155,0,0.0
10,2021-07-19 04:24:00+04:30,31813.42,31813.43,31785.71,31793.52,22.37176300,711322.72848722,572,7.12531900,226550.38698326,0,0.0
11,2021-07-19 04:25:00+04:30,31793.52,31807.0,31781.6,31781.6,17.27667600,549314.13810842,470,7.50168700,238529.85987104,0,0.0
12,2021-07-19 04:26:00+04:30,31781.6,31785.72,31749.81,31776.19,42.59101300,1352778.21919966,718,20.59029600,653947.16741976,0,0.0
13,2021-07-19 04:27:00+04:30,31776.18,31776.21,31755.81,31760.01,13.17790600,418603.13629673,359,2.90176000,92173.56425204,0,1.0
14,2021-07-19 04:28:00+04:30,31760.01,31787.05,31760.01,31770.01,24.61044700,781986.69550162,348,17.64229500,560578.55108894,0,1.0
15,2021-07-19 04:29:00+04:30,31770.0,31789.77,31761.43,31778.56,40.42776800,1284526.83682608,523,12.52205900,397911.32348152,0,0.0
16,2021-07-19 04:30:00+04:30,31778.57,31818.12,31736.77,31738.85,62.34756700,1981638.86982505,1273,33.12636800,1053103.30905960,0,0.0
17,2021-07-19 04:31:00+04:30,31738.86,31747.46,31668.0,31683.04,112.26696100,3560194.05553503,1400,45.28780100,1435964.86896191,0,0.0
18,2021-07-19 04:32:00+04:30,31684.76,31708.81,31657.8,31674.26,43.44355800,1376289.85296290,895,22.90183700,725522.84826347,0,1.0
19,2021-07-19 04:33:00+04:30,31674.26,31731.94,31674.26,31716.48,27.29017800,865038.15231798,486,13.62603100,431843.27176991,0,1.0
20,2021-07-19 04:34:00+04:30,31716.49,31725.33,31715.77,31720.55,23.38851700,741927.48373677,380,8.47848100,268968.09574214,0,1.0
21,2021-07-19 04:35:00+04:30,31720.55,31806.42,31720.13,31790.3,29.36478500,933206.90928910,906,23.41683800,744180.02344800,0,1.0
22,2021-07-19 04:36:00+04:30,31790.31,31847.01,31769.88,31835.89,28.42826200,904403.80630061,762,21.17287200,673553.05442507,0,0.0
23,2021-07-19 04:37:00+04:30,31833.35,31854.77,31796.11,31807.76,45.37433600,1444294.89970448,660,32.31782600,1028916.79636904,0,1.0
24,2021-07-19 04:38:00+04:30,31807.76,31836.94,31804.85,31815.76,32.31129300,1028244.39680975,594,21.30431600,677998.40502067,0,0.0
25,2021-07-19 04:39:00+04:30,31815.76,31820.04,31759.88,31769.98,40.86177200,1298493.03707386,576,3.58774700,114073.86198828,0,0.0
26,2021-07-19 04:40:00+04:30,31767.71,31789.61,31756.22,31760.0,22.51011200,715275.99544695,448,9.51788900,302476.68995961,0,1.0
27,2021-07-19 04:41:00+04:30,31760.0,31782.76,31757.29,31776.67,16.66541300,529439.20920350,389,13.35868600,424370.54371306,0,1.0
28,2021-07-19 04:42:00+04:30,31780.3,31799.35,31780.3,31784.58,7.64833700,243125.07932409,348,2.16383800,68787.62644878,0,1.0
29,2021-07-19 04:43:00+04:30,31784.58,31799.0,31784.58,31795.7,4.12505800,131141.06971245,274,3.00631500,95570.98644592,0,1.0
30,2021-07-19 04:44:00+04:30,31795.7,31817.37,31788.14,31815.85,10.09315300,320973.20889359,366,4.70457100,149619.21834860,0,0.0
31,2021-07-19 04:45:00+04:30,31814.79,31861.79,31786.98,31788.43,89.41391700,2846847.08217868,700,74.80535300,2381965.14078464,0,1.0
32,2021-07-19 04:46:00+04:30,31788.43,31812.8,31774.49,31808.33,21.12666600,671737.67005098,341,11.24648900,357604.82211883,0,1.0
33,2021-07-19 04:47:00+04:30,31812.06,31830.84,31792.99,31820.19,17.72072300,563679.28887255,322,8.82799800,280785.80919447,0,0.0
34,2021-07-19 04:48:00+04:30,31820.2,31822.02,31795.52,31795.52,16.83412900,535485.03625929,238,6.02285100,191634.38260355,0,0.0
35,2021-07-19 04:49:00+04:30,31791.22,31803.0,31786.09,31790.66,9.99162200,317693.30658018,266,4.73308900,150496.20652515,0,1.0
36,2021-07-19 04:50:00+04:30,31790.65,31810.34,31787.0,31794.22,4.99182700,158739.23490368,197,2.13085700,67762.72863760,0,0.0
37,2021-07-19 04:51:00+04:30,31794.21,31794.22,31764.58,31773.81,8.19738000,260477.98711962,240,1.68440800,53518.65741869,0,1.0
38,2021-07-19 04:52:00+04:30,31773.81,31784.09,31762.01,31775.36,20.02278500,636202.01852363,304,11.99395100,381107.14144184,0,0.0
39,2021-07-19 04:53:00+04:30,31775.36,31775.36,31757.66,31757.66,12.04460600,382584.46081933,243,6.26066800,198850.37662401,0,1.0
40,2021-07-19 04:54:00+04:30,31757.92,31766.57,31749.03,31764.66,12.22672200,388263.81266004,295,6.42697100,204093.60700318,0,1.0
41,2021-07-19 04:55:00+04:30,31764.66,31780.0,31760.07,31770.24,11.98752200,380885.75804817,299,6.88143400,218650.47265048,0,1.0
42,2021-07-19 04:56:00+04:30,31767.6,31785.18,31767.59,31771.11,9.16170200,291144.32226546,266,5.67367300,180314.90119948,0,1.0
43,2021-07-19 04:57:00+04:30,31771.12,31783.28,31771.12,31780.0,7.33289100,233032.70650660,153,5.28756300,168033.65271466,0,0.0
44,2021-07-19 04:58:00+04:30,31780.0,31782.01,31683.43,31703.49,129.64880500,4114119.17990060,751,29.55416500,938495.27753147,0,1.0
45,2021-07-19 04:59:00+04:30,31707.46,31745.37,31707.0,31721.09,34.34941000,1089768.75463238,311,27.30264900,866202.26753002,0,1.0
46,2021-07-19 05:00:00+04:30,31724.78,31748.72,31721.34,31727.69,12.89773600,409248.70045131,279,5.94165300,188532.76802872,0,1.0
47,2021-07-19 05:01:00+04:30,31727.69,31746.41,31727.69,31732.71,14.05625900,446083.62523919,215,7.32685600,232504.35136853,0,0.0
48,2021-07-19 05:02:00+04:30,31734.12,31744.99,31724.55,31730.82,4.20398700,133412.36104838,173,2.64395800,83905.54675344,0,0.0
49,2021-07-19 05:03:00+04:30,31730.83,31730.83,31678.86,31702.33,19.68271900,623899.11282658,421,5.45220800,172867.21372738,0,0.0
50,2021-07-19 05:04:00+04:30,31702.33,31706.48,31674.06,31674.06,32.25181500,1021913.91205524,398,19.82567500,628187.99107771,0,1.0
51,2021-07-19 05:05:00+04:30,31674.07,31704.79,31672.14,31695.36,9.86505500,312643.28432475,271,4.26858200,135289.34214717,0,0.0
52,2021-07-19 05:06:00+04:30,31695.35,31712.23,31665.47,31681.03,13.08951700,414858.06573327,313,8.13193100,257744.95519634,0,1.0
53,2021-07-19 05:07:00+04:30,31679.38,31700.29,31679.38,31688.89,4.76997100,151162.51000990,204,2.21768600,70280.94658383,0,0.0
54,2021-07-19 05:08:00+04:30,31686.72,31695.72,31670.95,31685.62,28.69940500,909351.21997336,347,6.62093200,209765.63422858,0,0.0
55,2021-07-19 05:09:00+04:30,31685.62,31693.87,31630.0,31633.27,38.09232700,1205658.65174852,786,23.16365400,733085.27184662,0,0.0
56,2021-07-19 05:10:00+04:30,31635.14,31658.4,31622.34,31629.69,20.61032100,652045.39292501,536,6.13816200,194222.11877688,0,0.0
57,2021-07-19 05:11:00+04:30,31629.7,31650.0,31589.39,31595.97,34.52899600,1092056.87747653,727,16.33181800,516619.01619767,0,1.0
58,2021-07-19 05:12:00+04:30,31598.0,31636.33,31597.61,31624.11,23.62156300,746824.21506410,534,14.19173800,448661.09374853,0,1.0
59,2021-07-19 05:13:00+04:30,31624.1,31628.94,31603.92,31625.35,6.63206500,209694.15866873,300,4.32128600,136634.85109032,0,1.0
60,2021-07-19 05:14:00+04:30,31625.35,31645.59,31625.34,31645.59,12.35677400,390910.06336243,258,4.25257600,134528.52241633,0,0.0
61,2021-07-19 05:15:00+04:30,31645.58,31645.58,31608.4,31631.56,19.44993700,615068.41205049,386,8.38304400,265076.38229521,0,0.0
62,2021-07-19 05:16:00+04:30,31631.55,31631.57,31603.62,31608.09,14.38578000,454836.58383765,377,5.06615900,160163.66475292,0,0.0
63,2021-07-19 05:17:00+04:30,31608.09,31623.91,31601.76,31603.02,16.35752200,517156.15056603,348,8.07048400,255156.54617659,0,0.0
