,Unnamed: 0,actual,predicted,rec,date,open,high,low,close,volume
0,0,1371.27,1350.084106,sell,2021-01-30 15:30:00+03:30,1340.01,1380.3,1330.25,1371.27,165274.409
1,1,1371.51,1356.816772,sell,2021-01-30 19:30:00+03:30,1371.26,1380,1345,1371.51,174074.5388
2,2,1378.05,1361.705444,sell,2021-01-30 23:30:00+03:30,1371.64,1390,1368.34,1378.05,126892.9121
3,3,1357.49,1369.230957,buy,2021-01-31 03:30:00+03:30,1378.04,1380.74,1354,1357.49,113053.8896
4,4,1346.28,1364.619995,buy,2021-01-31 07:30:00+03:30,1357.49,1365.2,1342,1346.28,110441.8604
5,5,1354.29,1355.64624,sell,2021-01-31 11:30:00+03:30,1346.28,1357.43,1338,1354.29,124977.5843
6,6,1311.1,1352.305786,buy,2021-01-31 15:30:00+03:30,1354.36,1371.85,1291.68,1311.1,278371.3748
7,7,1305,1330.595947,buy,2021-01-31 19:30:00+03:30,1311.01,1320,1281.12,1305,217327.3656
8,8,1312.55,1314.781372,sell,2021-01-31 23:30:00+03:30,1305,1321.93,1292,1312.55,114532.781
9,9,1316.92,1309.983765,sell,2021-02-01 03:30:00+03:30,1312.45,1324.63,1269.99,1316.92,247760.7699
10,10,1316.67,1307.100342,sell,2021-02-01 07:30:00+03:30,1316.91,1337.83,1301.7,1316.67,187232.7562
11,11,1336.41,1309.22583,sell,2021-02-01 11:30:00+03:30,1316.65,1345.19,1307.52,1336.41,197638.2719
12,12,1301.73,1319.777344,buy,2021-02-01 15:30:00+03:30,1336.4,1345.52,1301.51,1301.73,174907.4895
13,13,1332.74,1312.90918,sell,2021-02-01 19:30:00+03:30,1301.96,1334,1300,1332.74,122795.5442
14,14,1374.17,1320.902344,sell,2021-02-01 23:30:00+03:30,1332.74,1377.99,1329.37,1374.17,166063.087
15,15,1368.79,1343.942383,sell,2021-02-02 03:30:00+03:30,1374.09,1411.02,1360.28,1368.79,241546.9381
16,16,1415,1358.029175,sell,2021-02-02 07:30:00+03:30,1368.8,1425.99,1367.5,1415,231846.7207
17,17,1419.58,1386.48938,sell,2021-02-02 11:30:00+03:30,1415,1458,1405.62,1419.58,396483.6499
18,18,1427.87,1406.099121,sell,2021-02-02 15:30:00+03:30,1419.58,1447.71,1408,1427.87,244276.3037
19,19,1516.13,1422.900757,sell,2021-02-02 19:30:00+03:30,1427.88,1516.62,1421.56,1516.13,482312.4412
20,20,1511.87,1466.86792,sell,2021-02-02 23:30:00+03:30,1516.29,1547.9,1497.12,1511.87,347761.9452
21,21,1539.57,1497.696289,sell,2021-02-03 03:30:00+03:30,1511.93,1548,1508.39,1539.57,196829.1902
22,22,1547.09,1527.222778,sell,2021-02-03 07:30:00+03:30,1539.71,1571,1537.69,1547.09,231786.9723
23,23,1537.68,1545.771851,buy,2021-02-03 11:30:00+03:30,1547.15,1560,1512.38,1537.68,261018.3304
24,24,1597.25,1548.918213,sell,2021-02-03 15:30:00+03:30,1537.93,1599.86,1523.24,1597.25,283822.301
25,25,1616.1,1573.613281,sell,2021-02-03 19:30:00+03:30,1597.56,1650,1580.1,1616.1,352828.1998
26,26,1664.49,1598.254272,sell,2021-02-03 23:30:00+03:30,1616.1,1669.35,1600.44,1664.49,209584.8944
27,27,1645.84,1634.672852,buy,2021-02-04 03:30:00+03:30,1664.67,1695.2,1632.51,1645.84,278025.5231
28,28,1662.83,1648.312012,sell,2021-02-04 07:30:00+03:30,1645.85,1683.16,1635,1662.83,171021.4271
29,29,1611.74,1661.915039,buy,2021-02-04 11:30:00+03:30,1662.52,1684.66,1570.96,1611.74,375964.9153
30,30,1580.88,1642.627441,buy,2021-02-04 15:30:00+03:30,1611.77,1643.21,1554.44,1580.88,333884.8995
31,31,1652.99,1615.811768,sell,2021-02-04 19:30:00+03:30,1580.8,1664.51,1565,1652.99,295847.7155
32,32,1595.67,1628.571289,buy,2021-02-04 23:30:00+03:30,1652.96,1670.67,1588,1595.67,191757.8492
33,33,1639.99,1615.345459,sell,2021-02-05 03:30:00+03:30,1595.53,1653.21,1591,1639.99,178248.2338
34,34,1662.36,1623.772461,sell,2021-02-05 07:30:00+03:30,1639.99,1669.5,1622.24,1662.36,142863.906
35,35,1662.78,1639.146851,sell,2021-02-05 11:30:00+03:30,1662.6,1676.27,1641.22,1662.78,160819.1867
36,36,1741.99,1649.199463,sell,2021-02-05 15:30:00+03:30,1662.79,1748,1657.35,1741.99,321200.1133
37,37,1709.91,1688.720459,sell,2021-02-05 19:30:00+03:30,1742,1760.49,1682,1709.91,271453.9985
38,38,1719.19,1702.994385,sell,2021-02-05 23:30:00+03:30,1710.02,1726.45,1695,1719.19,119537.8613
