,actual,predicted
636,3902.03,3807.767822265625
637,3875.52,3756.225830078125
638,3751.4299999999994,3764.8671875
639,3646.6799999999994,3599.8759765625
640,3826.23,3577.958984375
641,3866.75,3716.9638671875
642,3789.69,3730.907958984375
643,3633.45,3694.53076171875
644,3419.22,3557.16650390625
645,3582.0999999999995,3277.245361328125
646,3240.13,3375.389404296875
647,3520.85,3101.852783203125
648,3516.52,3225.515869140625
649,3284.75,3350.75
650,3378.75,3153.799072265625
651,3282.51,3155.46240234375
652,3384.5700000000006,3148.263427734375
653,3510.02,3194.70263671875
654,3533.89,3321.91357421875
655,3345.5,3371.460693359375
656,3402.38,3170.337646484375
657,3375.0700000000006,3250.144287109375
658,3097.23,3246.22705078125
659,2985.0,2927.82275390625
660,2721.08,2751.643310546875
661,2742.61,2500.86376953125
662,2601.1300000000006,2185.88623046875
663,2438.9200000000005,2400.008544921875
664,2472.46,2324.42626953125
665,2712.69,2131.628173828125
666,2754.41,2561.07177734375
667,2903.99,2497.130615234375
668,2782.41,2561.160400390625
669,2768.62,2519.001708984375
670,2790.86,2571.568603515625
671,2686.96,2631.17236328125
672,2712.37,2466.776123046875
673,2420.69,2502.505615234375
674,2349.5,2204.020263671875
675,2430.98,2096.885986328125
676,2329.99,2099.5830078125
677,2248.57,2099.31298828125
678,2415.54,2000.13525390625
679,2367.21,2220.85498046875
680,2255.05,2185.564208984375
681,2294.87,2053.886474609375
682,2317.8,2152.56201171875
683,2157.64,2123.02685546875
684,2115.49,1941.1895751953125
685,1924.79,1852.397216796875
686,1968.0900000000001,1699.2779541015625
687,2096.39,1667.418212890625
688,2141.29,1880.427001953125
689,2291.1,1941.15966796875
690,2367.74,2067.18359375
691,2509.07,2165.00439453125
692,2650.8599999999997,2244.542236328125
693,2648.43,2365.218505859375
694,2582.48,2390.193359375
695,2660.48,2385.3583984375
696,2392.72,2467.372802734375
697,2610.47,2226.584716796875
698,2512.12,2350.8935546875
699,2705.11,2319.697021484375
700,2840.45,2482.551025390625
701,2890.62,2627.72607421875
702,2832.8700000000003,2682.306884765625
703,2744.78,2651.875244140625
704,2739.85,2573.162353515625
705,2884.9399999999996,2556.8974609375
706,2679.26,2700.407470703125
707,2735.02,2522.57568359375
708,2826.88,2605.770263671875
709,2803.9899999999993,2708.441162109375
710,2757.66,2629.66259765625
711,2742.23,2617.0322265625
712,2716.07,2634.746826171875
713,2566.13,2591.191162109375
714,2435.66,2415.340576171875
715,2558.36,2307.334228515625
716,2499.51,2411.00634765625
717,2412.1,2339.50634765625
718,2525.29,2267.6826171875
719,2488.96,2429.08544921875
720,2450.75,2386.769287109375
721,2328.92,2305.587890625
722,2247.04,2232.987548828125
723,2278.74,2158.3740234375
724,2296.12,2160.023193359375
725,2452.33,2145.771484375
726,2461.56,2304.997802734375
727,2382.48,2332.184814453125
728,2441.9,2272.579833984375
729,2385.98,2355.926025390625
730,2300.77,2296.371826171875
731,2450.4200000000005,2191.188720703125
732,2551.46,2335.792724609375
733,2637.48,2408.17431640625
734,2627.2,2449.4931640625
735,2706.15,2516.090576171875
736,2630.79,2592.849609375
737,2652.53,2519.247314453125
738,2624.0900000000006,2552.684326171875
739,2568.49,2484.70361328125
740,2542.67,2427.609619140625
741,2634.57,2449.6494140625
742,2615.4,2530.36474609375
743,2692.6,2504.686767578125
744,2694.35,2598.15576171875
745,2791.24,2596.639404296875
746,2758.19,2653.11767578125
747,2706.22,2668.86669921875
748,2725.8,2610.885986328125
749,2820.32,2626.14501953125
750,2806.63,2705.814453125
751,2788.1099999999997,2671.163818359375
752,2793.29,2670.08203125
753,2857.25,2731.27099609375
754,2753.2699999999995,2766.427978515625
755,2619.69,2625.374755859375
756,2624.53,2533.672119140625
757,2658.01,2553.36328125
