,date,ITS_9_tenkensen,IKS_26_kijunsen,ISA_9_spanA,ISB_26_spanB,IKS_26_chiku,kijunAndSpanBCross
93,2021-06-30 03:08:00+04:30,1,0,0,0,1,0
94,2021-06-30 03:09:00+04:30,1,1,0,0,0,0
95,2021-06-30 03:10:00+04:30,1,1,0,0,0,0
96,2021-06-30 03:11:00+04:30,1,1,0,0,0,0
97,2021-06-30 03:12:00+04:30,1,1,0,0,0,0
98,2021-06-30 03:13:00+04:30,1,1,0,0,0,0
99,2021-06-30 03:14:00+04:30,1,1,0,0,0,0
100,2021-06-30 03:15:00+04:30,1,1,0,0,0,0
101,2021-06-30 03:16:00+04:30,1,1,0,0,0,0
102,2021-06-30 03:17:00+04:30,1,1,1,0,0,0
103,2021-06-30 03:18:00+04:30,1,1,1,1,0,0
104,2021-06-30 03:19:00+04:30,1,1,1,1,0,0
105,2021-06-30 03:20:00+04:30,1,1,1,1,0,0
106,2021-06-30 03:21:00+04:30,1,1,1,1,0,0
107,2021-06-30 03:22:00+04:30,1,1,1,1,0,0
108,2021-06-30 03:23:00+04:30,1,1,1,1,0,0
109,2021-06-30 03:24:00+04:30,1,1,1,1,0,0
110,2021-06-30 03:25:00+04:30,0,1,1,1,0,0
111,2021-06-30 03:26:00+04:30,0,1,1,1,0,0
112,2021-06-30 03:27:00+04:30,0,0,1,0,1,1
113,2021-06-30 03:28:00+04:30,0,0,1,0,1,1
114,2021-06-30 03:29:00+04:30,0,0,1,0,1,1
115,2021-06-30 03:30:00+04:30,0,0,1,0,1,1
116,2021-06-30 03:31:00+04:30,0,0,1,0,1,1
117,2021-06-30 03:32:00+04:30,0,0,1,0,1,1
118,2021-06-30 03:33:00+04:30,0,0,1,0,1,1
119,2021-06-30 03:34:00+04:30,1,0,1,0,1,1
120,2021-06-30 03:35:00+04:30,1,1,1,1,0,1
121,2021-06-30 03:36:00+04:30,1,0,1,1,1,1
122,2021-06-30 03:37:00+04:30,1,0,1,0,1,1
123,2021-06-30 03:38:00+04:30,1,0,1,0,1,1
124,2021-06-30 03:39:00+04:30,1,1,1,1,0,1
125,2021-06-30 03:40:00+04:30,1,0,1,0,1,1
126,2021-06-30 03:41:00+04:30,1,0,1,0,1,1
127,2021-06-30 03:42:00+04:30,0,0,1,0,1,1
128,2021-06-30 03:43:00+04:30,0,0,0,0,1,1
129,2021-06-30 03:44:00+04:30,0,0,0,0,1,1
130,2021-06-30 03:45:00+04:30,0,0,0,0,1,1
131,2021-06-30 03:46:00+04:30,0,0,0,0,1,1
132,2021-06-30 03:47:00+04:30,0,0,0,0,1,1
133,2021-06-30 03:48:00+04:30,0,0,0,0,1,1
134,2021-06-30 03:49:00+04:30,0,0,0,0,1,1
135,2021-06-30 03:50:00+04:30,1,0,0,0,1,1
136,2021-06-30 03:51:00+04:30,1,1,0,1,0,1
137,2021-06-30 03:52:00+04:30,1,1,0,1,0,1
138,2021-06-30 03:53:00+04:30,0,0,0,0,1,1
139,2021-06-30 03:54:00+04:30,1,1,0,1,0,1
140,2021-06-30 03:55:00+04:30,1,1,0,1,0,1
141,2021-06-30 03:56:00+04:30,1,1,0,1,0,1
142,2021-06-30 03:57:00+04:30,1,0,0,0,1,1
143,2021-06-30 03:58:00+04:30,1,1,0,1,0,1
144,2021-06-30 03:59:00+04:30,1,1,0,1,0,1
145,2021-06-30 04:00:00+04:30,1,1,1,1,0,1
146,2021-06-30 04:01:00+04:30,1,1,1,1,0,1
147,2021-06-30 04:02:00+04:30,1,1,1,1,0,1
148,2021-06-30 04:03:00+04:30,1,1,1,1,0,1
149,2021-06-30 04:04:00+04:30,1,1,1,1,0,1
150,2021-06-30 04:05:00+04:30,1,1,1,1,0,1
151,2021-06-30 04:06:00+04:30,1,1,1,1,0,1
152,2021-06-30 04:07:00+04:30,1,1,1,1,0,1
153,2021-06-30 04:08:00+04:30,0,1,1,1,0,1
154,2021-06-30 04:09:00+04:30,0,1,1,1,0,1
155,2021-06-30 04:10:00+04:30,0,1,1,1,0,1
156,2021-06-30 04:11:00+04:30,0,0,0,1,1,1
157,2021-06-30 04:12:00+04:30,0,1,1,1,0,1
158,2021-06-30 04:13:00+04:30,0,0,1,1,1,1
159,2021-06-30 04:14:00+04:30,0,0,1,1,1,1
160,2021-06-30 04:15:00+04:30,0,0,0,0,1,1
161,2021-06-30 04:16:00+04:30,0,0,0,0,1,1
162,2021-06-30 04:17:00+04:30,0,0,0,0,1,1
163,2021-06-30 04:18:00+04:30,0,0,0,0,1,0
164,2021-06-30 04:19:00+04:30,0,0,0,0,1,0
165,2021-06-30 04:20:00+04:30,0,0,0,0,1,0
166,2021-06-30 04:21:00+04:30,0,0,0,0,1,0
167,2021-06-30 04:22:00+04:30,0,0,0,0,1,0
168,2021-06-30 04:23:00+04:30,0,0,0,0,1,0
169,2021-06-30 04:24:00+04:30,0,0,0,0,1,0
170,2021-06-30 04:25:00+04:30,0,0,0,0,1,0
171,2021-06-30 04:26:00+04:30,1,0,0,0,1,0
172,2021-06-30 04:27:00+04:30,1,0,0,0,1,0
173,2021-06-30 04:28:00+04:30,0,0,0,0,1,0
174,2021-06-30 04:29:00+04:30,1,0,0,0,1,0
175,2021-06-30 04:30:00+04:30,1,0,0,0,1,0
176,2021-06-30 04:31:00+04:30,1,0,0,0,1,0
177,2021-06-30 04:32:00+04:30,0,0,0,0,1,0
178,2021-06-30 04:33:00+04:30,0,0,0,0,1,0
179,2021-06-30 04:34:00+04:30,0,0,0,0,1,0
180,2021-06-30 04:35:00+04:30,0,0,0,0,1,0
181,2021-06-30 04:36:00+04:30,0,0,0,0,1,0
182,2021-06-30 04:37:00+04:30,0,0,0,0,1,0
183,2021-06-30 04:38:00+04:30,0,0,0,0,1,0
184,2021-06-30 04:39:00+04:30,0,0,0,0,1,0
185,2021-06-30 04:40:00+04:30,1,0,0,0,1,0
186,2021-06-30 04:41:00+04:30,1,1,0,0,0,0
187,2021-06-30 04:42:00+04:30,0,0,0,0,1,0
188,2021-06-30 04:43:00+04:30,1,0,0,0,1,0
189,2021-06-30 04:44:00+04:30,0,0,0,0,1,0
190,2021-06-30 04:45:00+04:30,1,0,0,0,1,0
191,2021-06-30 04:46:00+04:30,1,0,0,0,1,0
192,2021-06-30 04:47:00+04:30,1,1,0,0,0,0
193,2021-06-30 04:48:00+04:30,1,1,0,0,0,0
194,2021-06-30 04:49:00+04:30,1,1,0,0,0,0
195,2021-06-30 04:50:00+04:30,1,1,0,0,0,0
196,2021-06-30 04:51:00+04:30,1,1,1,0,0,0
