,date,open,high,low,close,volume,QAV,trades,TBAV,TQAV,Ignore
0,2021-06-23 23:00:00,33469.76,33473.91,33445.49,33445.49,99.71596400,3335849.74048868,950,3.32494700,111256.28807469,0
1,2021-06-23 23:01:00,33440.01,33446.08,33408.61,33445.41,29.53588600,987286.27501940,890,13.66164000,456664.04320151,0
2,2021-06-23 23:02:00,33445.42,33446.96,33405.5,33411.43,15.41154800,515013.21720528,443,4.82227800,161137.09749690,0
3,2021-06-23 23:03:00,33411.52,33446.84,33399.47,33441.74,21.72788100,726148.96162735,583,9.68829700,323817.75670872,0
4,2021-06-23 23:04:00,33441.74,33472.25,33412.78,33415.0,22.04794600,737423.95081420,556,9.21265800,308140.35009413,0
5,2021-06-23 23:05:00,33415.01,33429.15,33402.47,33402.68,13.68118500,457090.01538096,505,4.48646500,149896.02554586,0
6,2021-06-23 23:06:00,33402.68,33412.55,33379.81,33380.11,25.54303600,853049.66121904,505,10.75305600,359079.03556805,0
7,2021-06-23 23:07:00,33380.0,33399.91,33362.62,33386.13,31.93908500,1066010.00268724,638,6.92435700,231134.60174941,0
8,2021-06-23 23:08:00,33386.08,33388.72,33364.89,33378.87,25.67800600,857001.15149358,489,10.65236500,355521.50241306,0
9,2021-06-23 23:09:00,33378.88,33385.4,33333.76,33340.01,59.12853600,1972770.93687647,739,31.78873200,1060607.29501028,0
10,2021-06-23 23:10:00,33340.01,33356.94,33324.68,33340.0,38.59984800,1286955.41638971,739,20.63746800,688109.15725990,0
11,2021-06-23 23:11:00,33340.01,33349.49,33251.0,33282.87,83.14446700,2769184.89127304,1301,30.16823400,1004363.65498421,0
12,2021-06-23 23:12:00,33282.87,33317.8,33282.87,33308.91,20.71205300,689737.98029871,552,14.03512400,467396.98376890,0
13,2021-06-23 23:13:00,33308.9,33308.91,33282.31,33301.94,18.31661900,609852.40788361,411,7.07725600,235621.59688889,0
14,2021-06-23 23:14:00,33306.85,33306.86,33273.32,33300.0,18.87064300,628176.14022738,513,8.15580200,271495.23790834,0
15,2021-06-23 23:15:00,33300.0,33376.01,33300.0,33370.02,48.85017400,1628864.14651400,764,36.33613500,1211607.37795184,0
16,2021-06-23 23:16:00,33371.56,33386.09,33370.0,33376.89,21.36909700,713180.19208269,457,6.87248600,229359.66303691,0
17,2021-06-23 23:17:00,33376.89,33427.5,33370.16,33420.36,28.05143800,936868.62313814,603,17.15784700,573067.16993970,0
18,2021-06-23 23:18:00,33420.35,33452.74,33416.01,33419.72,37.46406500,1252846.07687366,598,29.28129700,979253.29388857,0
19,2021-06-23 23:19:00,33419.71,33450.0,33386.82,33450.0,18.86541400,630217.91348037,530,6.57706300,219730.75682110,0
