,date,open,high,low,close,volume,QAV,trades,TBAV,TQAV,Ignore,detect
0,2021-07-11 05:28:00+04:30,33725.87,33726.2,33707.29,33710.63,7.20252300,242847.37111478,279,3.88114800,130865.23661666,0,1.0
1,2021-07-11 05:29:00+04:30,33710.6,33730.37,33704.9,33719.99,6.65728600,224443.90502155,251,2.91114800,98152.88207348,0,0.0
2,2021-07-11 05:30:00+04:30,33720.0,33748.13,33700.14,33705.31,12.42650600,419088.36009964,375,6.73391200,227119.94078884,0,0.0
3,2021-07-11 05:31:00+04:30,33705.31,33705.31,33670.01,33690.19,18.88519700,636280.71834310,423,5.94489900,200296.80793067,0,1.0
4,2021-07-11 05:32:00+04:30,33688.52,33697.93,33684.87,33696.1,4.23058800,142528.84230621,257,2.40818400,81131.77216584,0,0.0
5,2021-07-11 05:33:00+04:30,33696.11,33705.03,33686.02,33686.03,8.77620600,295777.46332756,256,2.51161700,84642.09037628,0,1.0
6,2021-07-11 05:34:00+04:30,33686.02,33701.3,33670.02,33699.01,10.84933300,365394.46759852,374,5.05219000,170148.52028497,0,0.0
7,2021-07-11 05:35:00+04:30,33699.01,33699.02,33662.91,33665.67,7.80721000,262928.89629550,316,2.50429900,84340.54068169,0,0.0
8,2021-07-11 05:36:00+04:30,33664.26,33673.89,33656.76,33662.46,11.21320300,377481.01655060,458,3.57037300,120191.73094496,0,1.0
9,2021-07-11 05:37:00+04:30,33664.13,33682.23,33662.72,33675.49,3.63932300,122547.88531438,339,2.48703900,83747.83862414,0,0.0
10,2021-07-11 05:38:00+04:30,33675.5,33681.01,33652.72,33653.05,19.49859500,656355.21097451,462,3.43725500,115738.02805077,0,1.0
11,2021-07-11 05:39:00+04:30,33653.05,33674.3,33653.05,33671.43,4.17904900,140688.02860342,297,2.71652900,91452.08493100,0,0.0
12,2021-07-11 05:40:00+04:30,33671.42,33671.42,33642.98,33662.11,10.82727400,364439.93893194,406,5.73003700,192882.24027362,0,1.0
13,2021-07-11 05:41:00+04:30,33662.1,33671.69,33660.48,33667.06,5.88811500,198233.53264733,271,3.19732400,107643.95274126,0,1.0
14,2021-07-11 05:42:00+04:30,33667.06,33679.98,33653.29,33679.98,3.88388200,130750.40095481,248,1.96887400,66289.07292598,0,1.0
15,2021-07-11 05:43:00+04:30,33679.97,33698.96,33678.2,33686.9,7.11971500,239865.52807773,263,4.01722000,135346.13363285,0,0.0
16,2021-07-11 05:44:00+04:30,33685.54,33689.98,33676.05,33681.44,10.89157500,366856.22389243,230,3.90368600,131484.02830851,0,0.0
17,2021-07-11 05:45:00+04:30,33680.96,33689.99,33669.05,33674.65,9.38993400,316212.01600761,210,4.80351500,161760.35409530,0,1.0
18,2021-07-11 05:46:00+04:30,33674.65,33689.46,33672.14,33686.51,7.13467700,240278.58747435,372,4.84084100,163027.67789594,0,0.0
19,2021-07-11 05:47:00+04:30,33686.51,33694.97,33679.28,33679.28,9.86249700,332237.91055638,212,3.66618700,123500.43808543,0,0.0
20,2021-07-11 05:48:00+04:30,33679.28,33684.98,33647.73,33648.72,20.13945100,678013.37839759,328,4.20622000,141590.43674964,0,0.0
21,2021-07-11 05:49:00+04:30,33648.73,33653.89,33631.4,33641.01,6.66056000,224087.01501338,244,3.30728200,111271.78538964,0,1.0
22,2021-07-11 05:50:00+04:30,33641.02,33676.35,33641.02,33674.37,11.84851200,398861.15340484,289,8.07269000,271739.65363332,0,1.0
23,2021-07-11 05:51:00+04:30,33674.37,33695.23,33673.69,33689.44,9.32789600,314246.54780456,259,4.63565400,156179.94049053,0,1.0
24,2021-07-11 05:52:00+04:30,33689.43,33699.99,33678.83,33697.62,9.91286300,333961.45997349,241,4.93302500,166202.47287926,0,1.0
25,2021-07-11 05:53:00+04:30,33699.8,33713.75,33694.26,33712.75,11.62388400,391774.93479266,325,5.58016600,188074.48855151,0,0.0
26,2021-07-11 05:54:00+04:30,33712.75,33712.75,33672.64,33676.4,9.53041500,321099.20399962,217,6.12848700,206504.88224575,0,1.0
27,2021-07-11 05:55:00+04:30,33676.39,33698.53,33676.39,33696.99,7.14839000,240838.63520318,187,4.40790600,148510.08468050,0,0.0
28,2021-07-11 05:56:00+04:30,33696.99,33708.68,33687.4,33689.27,8.81457700,297024.10187199,228,5.10466500,172010.36105874,0,0.0
