,date,tenkensen,kijunsen,spanA,spanB,chiku,kijunAndSpanBCross,tenkensenAndkijunsen,priceAndABSpan,tenkensenAndPriceWithKijunsen,sAAndB
99,1962-06-13,0,0,0,0,0.0,0,0,0,0,0
100,1962-06-14,0,0,0,0,0.0,0,0,0,0,0
101,1962-06-15,0,0,0,0,0.0,0,0,0,0,0
102,1962-06-18,0,0,0,0,0.0,0,0,0,0,0
103,1962-06-19,0,0,0,0,0.0,0,0,0,0,0
104,1962-06-20,0,0,0,0,0.0,0,0,0,0,0
105,1962-06-21,0,0,0,0,0.0,0,0,0,0,0
106,1962-06-22,0,0,0,0,0.0,0,0,0,0,0
107,1962-06-25,1,0,0,0,0.0,0,0,0,0,0
108,1962-06-26,0,0,0,0,0.0,0,0,0,0,0
109,1962-06-27,1,0,0,0,0.0,0,0,0,0,0
110,1962-06-28,1,0,0,0,0.0,0,0,0,0,0
111,1962-06-29,1,0,0,0,0.0,0,0,0,0,0
112,1962-07-02,1,0,0,0,0.0,0,0,0,0,0
113,1962-07-03,1,0,0,0,0.0,0,0,0,0,0
114,1962-07-05,1,0,0,0,1.0,0,0,0,0,0
115,1962-07-06,1,0,0,0,0.0,0,0,0,0,0
116,1962-07-09,1,0,0,0,0.0,0,0,0,0,0
117,1962-07-10,1,1,0,0,0.0,0,0,0,0,0
118,1962-07-11,1,1,0,0,1.0,0,0,0,0,0
119,1962-07-12,1,1,0,0,1.0,0,1,0,1,0
120,1962-07-13,1,1,0,0,1.0,0,1,0,1,0
121,1962-07-16,1,1,0,0,1.0,0,1,0,1,0
122,1962-07-17,1,1,0,0,1.0,0,1,0,1,0
123,1962-07-18,0,1,0,0,1.0,0,1,0,0,0
124,1962-07-19,1,1,0,0,1.0,0,1,0,1,0
125,1962-07-20,1,1,0,0,1.0,0,1,0,1,0
126,1962-07-23,0,1,0,0,1.0,0,1,0,0,0
127,1962-07-24,0,1,0,0,1.0,0,1,0,0,0
128,1962-07-25,0,1,0,0,1.0,0,1,0,0,0
129,1962-07-26,0,1,0,0,1.0,0,1,0,0,0
130,1962-07-27,1,1,1,0,1.0,0,1,0,1,0
131,1962-07-30,1,1,1,0,1.0,0,1,0,1,0
132,1962-07-31,1,1,1,0,1.0,0,1,0,1,0
133,1962-08-01,1,1,1,0,1.0,0,1,0,1,0
134,1962-08-02,1,1,1,0,1.0,0,1,0,1,0
135,1962-08-03,1,1,1,0,1.0,0,1,0,1,0
136,1962-08-06,1,1,1,0,1.0,0,1,0,1,0
137,1962-08-07,0,1,1,0,1.0,0,1,0,0,0
138,1962-08-08,1,1,1,0,1.0,0,1,0,1,0
139,1962-08-09,0,1,1,0,1.0,0,1,0,0,0
140,1962-08-10,0,1,1,0,1.0,0,1,0,0,0
141,1962-08-13,0,1,1,0,1.0,0,1,0,0,0
142,1962-08-14,1,1,1,0,1.0,0,1,0,1,0
143,1962-08-15,1,1,1,0,1.0,0,1,0,1,0
144,1962-08-16,1,1,1,0,1.0,0,1,0,1,0
145,1962-08-17,1,1,1,0,1.0,0,1,0,1,0
146,1962-08-20,1,1,1,0,1.0,0,1,0,1,0
147,1962-08-21,1,1,1,0,1.0,0,1,0,1,0
148,1962-08-22,1,1,1,0,1.0,0,1,0,1,0
149,1962-08-23,1,1,1,0,1.0,0,1,0,1,0
150,1962-08-24,1,1,1,0,1.0,0,1,0,1,0
151,1962-08-27,1,1,1,0,1.0,0,1,0,1,0
152,1962-08-28,0,1,1,0,1.0,0,1,0,0,0
153,1962-08-29,0,1,1,0,1.0,0,1,0,0,0
