,date,detect
187,2021-07-01 05:34:00+04:30,1
188,2021-07-01 05:35:00+04:30,0
189,2021-07-01 05:36:00+04:30,1
190,2021-07-01 05:37:00+04:30,1
191,2021-07-01 05:38:00+04:30,0
192,2021-07-01 05:39:00+04:30,1
193,2021-07-01 05:40:00+04:30,0
194,2021-07-01 05:41:00+04:30,0
195,2021-07-01 05:42:00+04:30,1
196,2021-07-01 05:43:00+04:30,1
197,2021-07-01 05:44:00+04:30,0
198,2021-07-01 05:45:00+04:30,1
199,2021-07-01 05:46:00+04:30,1
200,2021-07-01 05:47:00+04:30,1
201,2021-07-01 05:48:00+04:30,1
202,2021-07-01 05:49:00+04:30,1
203,2021-07-01 05:50:00+04:30,0
204,2021-07-01 05:51:00+04:30,1
205,2021-07-01 05:52:00+04:30,0
206,2021-07-01 05:53:00+04:30,1
207,2021-07-01 05:54:00+04:30,0
208,2021-07-01 05:55:00+04:30,0
209,2021-07-01 05:56:00+04:30,1
210,2021-07-01 05:57:00+04:30,1
211,2021-07-01 05:58:00+04:30,0
212,2021-07-01 05:59:00+04:30,0
213,2021-07-01 06:00:00+04:30,0
214,2021-07-01 06:01:00+04:30,1
215,2021-07-01 06:02:00+04:30,1
216,2021-07-01 06:03:00+04:30,1
217,2021-07-01 06:04:00+04:30,0
218,2021-07-01 06:05:00+04:30,0
219,2021-07-01 06:06:00+04:30,1
220,2021-07-01 06:07:00+04:30,0
221,2021-07-01 06:08:00+04:30,1
222,2021-07-01 06:09:00+04:30,0
223,2021-07-01 06:10:00+04:30,0
224,2021-07-01 06:11:00+04:30,1
225,2021-07-01 06:12:00+04:30,1
226,2021-07-01 06:13:00+04:30,1
227,2021-07-01 06:14:00+04:30,0
228,2021-07-01 06:15:00+04:30,1
229,2021-07-01 06:16:00+04:30,1
230,2021-07-01 06:17:00+04:30,0
231,2021-07-01 06:18:00+04:30,0
232,2021-07-01 06:19:00+04:30,1
233,2021-07-01 06:20:00+04:30,1
234,2021-07-01 06:21:00+04:30,0
235,2021-07-01 06:22:00+04:30,1
236,2021-07-01 06:23:00+04:30,1
237,2021-07-01 06:24:00+04:30,0
238,2021-07-01 06:25:00+04:30,1
239,2021-07-01 06:26:00+04:30,0
240,2021-07-01 06:27:00+04:30,0
241,2021-07-01 06:28:00+04:30,1
242,2021-07-01 06:29:00+04:30,0
243,2021-07-01 06:30:00+04:30,0
244,2021-07-01 06:31:00+04:30,1
245,2021-07-01 06:32:00+04:30,0
246,2021-07-01 06:33:00+04:30,0
247,2021-07-01 06:34:00+04:30,0
248,2021-07-01 06:35:00+04:30,1
249,2021-07-01 06:36:00+04:30,0
250,2021-07-01 06:37:00+04:30,0
251,2021-07-01 06:38:00+04:30,0
252,2021-07-01 06:39:00+04:30,0
253,2021-07-01 06:40:00+04:30,0
254,2021-07-01 06:41:00+04:30,0
255,2021-07-01 06:42:00+04:30,0
256,2021-07-01 06:43:00+04:30,1
257,2021-07-01 06:44:00+04:30,0
258,2021-07-01 06:45:00+04:30,0
259,2021-07-01 06:46:00+04:30,0
260,2021-07-01 06:47:00+04:30,1
261,2021-07-01 06:48:00+04:30,1
262,2021-07-01 06:49:00+04:30,1
